URL,Violations,Status of issue,Comment
https://www.letstalk.wellington.govt.nz/golden-mile,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/golden-mile,"color-contrast, frame-tested",Needs Review,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-may-2024-traffic-and-parking-restrictions,"duplicate-id, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/traffic-resolutions-may-2024-traffic-and-parking-restrictions,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/fees-and-charges,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/fees-and-charges,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/supporting-information,"duplicate-id, empty-heading, region",Violation,
https://www.letstalk.wellington.govt.nz/supporting-information,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/ltp-cost,"duplicate-id, empty-heading, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/ltp-cost,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/other-proposals,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/other-proposals,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/three-waters-funding,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/three-waters-funding,"color-contrast, frame-tested",Needs Review,
https://www.letstalk.wellington.govt.nz/waste-collection-changes,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/waste-collection-changes,"color-contrast, frame-tested",Needs Review,
https://www.letstalk.wellington.govt.nz/insurance-and-investment-risks,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/insurance-and-investment-risks,"color-contrast, frame-tested",Needs Review,
https://www.letstalk.wellington.govt.nz/submission-form,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/submission-form,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/holloway-road-play,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/holloway-road-play,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/homebush-road-play,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/homebush-road-play,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/churton-park-play,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/churton-park-play,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/salford-street-play,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/salford-street-play,color-contrast,Needs Review,
